,Country,Cases
1007,Singapore,2108024.0
1008,Singapore,2112110.0
1009,Singapore,2115621.0
1010,Singapore,2115621.0
1011,Singapore,2121435.0
1012,Singapore,2123328.0
1013,Singapore,2125004.0
1014,Singapore,2128572.0
1015,Singapore,2131554.0
1016,Singapore,2134319.0
1017,Singapore,2136597.0
1018,Singapore,2137876.0
1019,Singapore,2140099.0
1020,Singapore,2141411.0
1021,Singapore,2144522.0
1022,Singapore,2146706.0
1023,Singapore,2148794.0
1024,Singapore,2148794.0
1025,Singapore,2148794.0
1026,Singapore,2153535.0
1027,Singapore,2154633.0
1028,Singapore,2157021.0
1029,Singapore,2158709.0
1030,Singapore,2160324.0
1031,Singapore,2161282.0
1032,Singapore,2162594.0
1033,Singapore,2163872.0
1034,Singapore,2164689.0
1035,Singapore,2166527.0
1036,Singapore,2167897.0
1037,Singapore,2169201.0
1038,Singapore,2170366.0
1039,Singapore,2171389.0
1040,Singapore,2172396.0
1041,Singapore,2173172.0
1042,Singapore,2174989.0
1043,Singapore,2176338.0
1044,Singapore,2177701.0
1045,Singapore,2178724.0
1046,Singapore,2179755.0
1047,Singapore,2181048.0
1048,Singapore,2181788.0
1049,Singapore,2183605.0
1050,Singapore,2184952.0
1051,Singapore,2186214.0
1052,Singapore,2187164.0
1053,Singapore,2188409.0
1054,Singapore,2189349.0
1055,Singapore,2190057.0
1056,Singapore,2191597.0
1057,Singapore,2192690.0
1058,Singapore,2193890.0
1059,Singapore,2193890.0
1060,Singapore,2193890.0
1061,Singapore,2193890.0
1062,Singapore,2197084.0
1063,Singapore,2198508.0
1064,Singapore,2199237.0
1065,Singapore,2200353.0
1066,Singapore,2201379.0
1067,Singapore,2202214.0
1068,Singapore,2202756.0
1069,Singapore,2203146.0
1070,Singapore,2203702.0
1071,Singapore,2205237.0
1072,Singapore,2206153.0
1073,Singapore,2206986.0
1074,Singapore,2207670.0
1075,Singapore,2208216.0
1076,Singapore,2208601.0
1077,Singapore,2209511.0
1078,Singapore,2210109.0
1079,Singapore,2210633.0
1080,Singapore,2211131.0
1081,Singapore,2211546.0
1082,Singapore,2211855.0
1083,Singapore,2212131.0
1084,Singapore,2212684.0
1085,Singapore,2213091.0
1086,Singapore,2213435.0
1087,Singapore,2213795.0
1088,Singapore,2214064.0
1089,Singapore,2214234.0
1090,Singapore,2214312.0
1091,Singapore,2214437.0
1092,Singapore,2214601.0
1093,Singapore,2215109.0
1094,Singapore,2215527.0
1095,Singapore,2215889.0
1096,Singapore,2216185.0
1097,Singapore,2216458.0
1098,Singapore,2217110.0
1099,Singapore,2217575.0
1100,Singapore,2218050.0
1101,Singapore,2218508.0
1102,Singapore,2218881.0
1103,Singapore,2219180.0
1104,Singapore,2219431.0
1105,Singapore,2220062.0
1106,Singapore,2220534.0
1107,Singapore,2220999.0
1108,Singapore,2221438.0
1109,Singapore,2221762.0
1110,Singapore,2222006.0
1111,Singapore,2222006.0
1112,Singapore,2222006.0
1113,Singapore,2222006.0
1114,Singapore,2222006.0
1115,Singapore,2222006.0
1116,Singapore,2226099.0
1117,Singapore,2226099.0
1118,Singapore,2226099.0
1119,Singapore,2226099.0
1120,Singapore,2226099.0
1121,Singapore,2226099.0
1122,Singapore,2226099.0
1123,Singapore,2230570.0
1124,Singapore,2230570.0
1125,Singapore,2230570.0
1126,Singapore,2230570.0
1127,Singapore,2230570.0
1128,Singapore,2230570.0
