,location,total_cases,total_deaths,total_vaccinations,total_tests
253,Andorra,15025.0,130.0,95918.0,209623.0
254,Andorra,15167.0,130.0,102032.0,214094.0
255,Angola,92581.0,1847.0,12690132.0,1317776.0
256,Angola,98532.0,1898.0,15902065.0,1403739.0
257,Angola,98746.0,1900.0,16633167.0,1429452.0
258,Angola,99761.0,1900.0,18956333.0,1618311.0
259,Antigua and Barbuda,1266.0,42.0,65656.0,16700.0
260,Argentina,1654805.0,47946.0,20493.0,5039498.0
261,Argentina,1667350.0,48158.0,40594.0,5091521.0
262,Argentina,1674319.0,48271.0,43400.0,5126379.0
263,Argentina,1677741.0,48337.0,43529.0,5136305.0
264,Argentina,1684902.0,48485.0,46841.0,5166330.0
265,Argentina,1690372.0,48610.0,47287.0,5192065.0
266,Argentina,1704486.0,48871.0,57748.0,5242548.0
267,Argentina,1718961.0,49119.0,68478.0,5296867.0
268,Argentina,1732867.0,49352.0,78598.0,5353028.0
269,Argentina,1747240.0,49597.0,96831.0,5407069.0
270,Argentina,1760515.0,49800.0,124725.0,5461798.0
271,Argentina,1768946.0,49913.0,134935.0,5506122.0
272,Argentina,1775105.0,50025.0,136114.0,5532906.0
273,Argentina,1788776.0,50276.0,155944.0,5584102.0
274,Argentina,1802088.0,50503.0,175338.0,5636913.0
275,Argentina,1814990.0,50714.0,192115.0,5691871.0
276,Argentina,1827363.0,50942.0,208766.0,5743995.0
277,Argentina,1838796.0,51117.0,226213.0,5800741.0
278,Argentina,1847322.0,51241.0,232098.0,5846549.0
279,Argentina,1853051.0,51325.0,233161.0,5878551.0
280,Argentina,1866069.0,51554.0,242993.0,5934137.0
281,Argentina,1878759.0,51781.0,256249.0,5991867.0
282,Argentina,1891377.0,51948.0,275682.0,6044785.0
283,Argentina,1904242.0,52169.0,289801.0,6095941.0
284,Argentina,1918575.0,52371.0,299023.0,6146740.0
285,Argentina,1927084.0,52499.0,302972.0,6183435.0
286,Argentina,1932367.0,52585.0,303276.0,6209542.0
287,Argentina,1944690.0,52826.0,317494.0,6258899.0
288,Argentina,1955600.0,53014.0,330308.0,6308387.0
289,Argentina,1965948.0,53195.0,340423.0,6360039.0
290,Argentina,1974765.0,53374.0,356473.0,6409982.0
291,Argentina,1983822.0,53542.0,379978.0,6459861.0
292,Argentina,1989330.0,53645.0,389293.0,6503114.0
293,Argentina,1993552.0,53716.0,389918.0,6540685.0
294,Argentina,2002970.0,53896.0,409454.0,6595681.0
295,Argentina,2012001.0,54063.0,433336.0,6655268.0
296,Argentina,2020885.0,54194.0,459960.0,6710671.0
297,Argentina,2029011.0,54366.0,488102.0,6759483.0
298,Argentina,2036927.0,54513.0,521149.0,6807204.0
299,Argentina,2041551.0,54597.0,532080.0,6842250.0
300,Argentina,2044821.0,54664.0,533465.0,6868078.0
301,Argentina,2052766.0,54845.0,556898.0,6918893.0
302,Argentina,2060381.0,54980.0,577101.0,6971691.0
303,Argentina,2067581.0,55125.0,592729.0,7023439.0
304,Argentina,2074713.0,55264.0,610589.0,7076872.0
305,Argentina,2083186.0,55413.0,626433.0,7129383.0
