,location,total_cases,total_deaths,total_vaccinations,total_tests
9151,France,0.0834301902621249,0.11533093483640909,0.031231322765494823,0.017472714605767402
1641,Bahrain,0.0016532796767619287,0.0005096971881041455,0.0002229223883201912,0.00038135849133881587
11840,Ireland,0.0028465606415954254,0.004895880412297241,0.0003708295054309753,0.00045871707916558867
13031,Italy,0.0505353372732474,0.12734366133807457,0.01965608266814692,0.008225798242068197
18266,Mongolia,0.009065916598528824,0.0020099191851216205,0.001644127795782722,0.0007272079732397341
27338,United Arab Emirates,0.005219144774745519,0.0014434783647480683,0.0023038098031468385,0.003908367964679217
14281,Kosovo,0.0019912252091885897,0.0029705789244194726,0.0005250835674514775,0.0001645878076920501
4610,Chile,0.017879328414096476,0.031501675430405426,0.006623959800359237,0.0017700648628254476
3604,Bulgaria,0.003034227242394173,0.01052245952785316,8.699680759003347e-05,0.00018784220409837253
3524,Brazil,0.24436652220946772,0.5785351780655001,0.06062360316913955,0.006196533130207791
19868,Norway,0.01681615841734508,0.003161715369958527,0.0034427456907313455,0.001206169680947681
15185,Liechtenstein,3.695306541358579e-05,5.773913458992273e-05,1.206364943120805e-05,6.327979412818807e-06
1606,Bahamas,0.0003845186107371724,0.0007486177450279637,9.797389835192138e-05,2.3154548345062962e-05
14584,Latvia,0.0014131904660010597,0.002148294007673332,0.0001088446360482958,0.0002467679715726405
13329,Italy,0.20052362470198956,0.164601331185703,0.04164711174162083,0.023691482596851655
5278,Colombia,0.0712627650611609,0.13827328131501873,0.023529697351293566,0.003608438172029513
46,Albania,0.0015159683815665003,0.002323502416084132,9.842658063077367e-05,6.323290895159668e-05
6127,Czechia,0.0133215448434552,0.019067851447161725,0.00016293229036629087,0.0007549027865790663
6406,Czechia,0.024364027583901108,0.03246830818362638,0.004012899929946356,0.004752770646273202
3696,Bulgaria,0.00494388789779003,0.01790510473679914,0.0005020840352837657,0.00033141557640185425
20831,Philippines,0.010391634248848074,0.015216252969085672,0.00039764411294877355,0.0011299866955117369
25743,Thailand,0.04753492690158613,0.026883540165532127,0.03981340915206004,0.0025739398675372316
13098,Italy,0.05476032008026403,0.13015296888657046,0.02564037725947239,0.009969719192418874
333,Argentina,0.0266474004863404,0.058652010217835816,0.0007630302200266155,0.0009064326384684082
26525,Turkey,0.06314119544294233,0.04901355675060079,0.013356285496471866,0.0063985696044582055
6693,Denmark,0.0024683848965045773,0.002341421457853418,0.00015887117886464618,0.0018236242311290257
23517,South Africa,0.046826029443276934,0.10114602227137791,0.011090520093760377,0.002778819732393011
10316,Guatemala,0.006454382621224702,0.01331384803457977,0.002047555576294235,0.0002732730735559661
1026,Australia,0.0006462205488855168,0.0010532414551058318,0.0061489767077696515,0.0034755682948320412
26163,Trinidad and Tobago,0.0016294939305882125,0.00374507972978085,0.0004685846376481368,7.377349977505181e-05
28193,United States,0.3227345183834512,0.493147957527889,0.019377588530594535,0.03585104190206537
8481,Estonia,0.006831242808996312,0.002573373498533625,0.0006038245289559098,0.0003712565808018941
11529,Indonesia,0.04999171844921492,0.14317115273195702,0.07080039377904257,0.003938094469004176
17521,Malta,0.0005051270263972802,0.0004698770952835091,0.00031011341902986613,0.00016100510731135924
3625,Bulgaria,0.004237938697401625,0.013854405794619908,0.00016163635856799688,0.00023946766739805714
2843,Bolivia,0.003187325225420453,0.012182957398473696,9.638890437556509e-05,9.918917258563577e-05
24836,Switzerland,0.005137357046050415,0.007240288377112207,8.359775149621492e-07,0.000348025518453366
20518,Peru,0.023669742208673444,0.1886685952864956,0.0019906700182527313,0.0014839577318910974
12420,Israel,0.009860560203538331,0.006382165376827493,0.0032066009802662037,0.0016916777314372011
131,Albania,0.0015683909915286216,0.0024459492015075886,0.00038176569116766575,9.662796128382959e-05
